"host_genus_species","Family_Group","sociality","social_score","fam_soc_score","notes","ref"
"Penaeus_aztecus","PENAEIDAE","aggregates","gregarious","gregarious","""whose gregarious schooling behavior was already known""","710"
"Penaeus_brasiliensis","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_californiensis","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_duorarum","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_indicus","PENAEIDAE","aggregates","gregarious","gregarious","""has been observed to aggregate more in sandy soil…""","712"
"Penaeus_japonicus","PENAEIDAE","juv_aggregates","gregarious","gregarious","larvae aggregate","715"
"Penaeus_kerathurus","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_latisulcatus","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_longistylus","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_merguiensis","PENAEIDAE","aggregates","gregarious","gregarious","""can form shoals when the population density is high""","664"
"Penaeus_monodon","PENAEIDAE","spawning_aggregates","repro_aggregate","repro_aggregate","""although this species is not gregarious it appears they congregate during spawning""","711"
"Penaeus_notialis","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_paulensis","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_semisulcatus","PENAEIDAE","aggregates","gregarious","gregarious","""can form shoals when the population density is high""","664"
"Penaeus_setiferus","PENAEIDAE","aggregates","gregarious","gregarious","""because of the fact that shrimp are gragrious, accumulating at times in very large schools"" in a paper specifically about P. setiferus in Louisiana","713"
"Penaeus_stylirostris","PENAEIDAE","aggregates","gregarious","gregarious","adult and juvenile gregarious, larvae and eggs solitary??","522"
"Penaeus_subtilis","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Penaeus_vannamei","PENAEIDAE","aggregates","gregarious","gregarious","""increasing gregariousness and benthic habits of the shrimp is consistent with observations of wild PLs in estuaries where congregations are great enough that their commercial harvest for aquaculture purposes is feasible""","714"
"Rimapenaeus_constrictus","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Trachysalambria_curvirostris","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Xiphopenaeus_kroyeri","PENAEIDAE",NA,"unknown","gregarious","no info on this sp.",NA
"Plagusia_depressa","PLAGUSIIDAE","solitary","solitary","solitary","evidence of agonistic displays",NA
"Achelous_spinimanus","PORTUNIDAE",NA,"unknown","solitary","no info on this sp.",NA
"Arenaeus_cribrarius","PORTUNIDAE","solitary","solitary","solitary","I think it's solo, no repro agg or anything, but not certain","716"
"Callinectes_arcuatus","PORTUNIDAE",NA,"unknown","solitary","no info on this sp.",NA
"Callinectes_bellicosus","PORTUNIDAE",NA,"unknown","solitary","no info on this sp.",NA
"Callinectes_danae","PORTUNIDAE","solitary","solitary","solitary","agonistic",NA
"Callinectes_ornatus","PORTUNIDAE",NA,"unknown","solitary","no info on this sp.",NA
"Callinectes_sapidus","PORTUNIDAE","solitary","solitary","solitary","agonistic",NA
"Callinectes_toxotes","PORTUNIDAE",NA,"unknown","solitary","""relatively scarce""",NA
"Carcinus_aestuarii","PORTUNIDAE","solitary","solitary","solitary","agonistic",NA
"Carcinus_maenas","PORTUNIDAE","solitary","solitary","solitary","aggressive displays and formation of dominance hierarchies","661"
"Charybdis_bimaculata","PORTUNIDAE",NA,"unknown","solitary","no info on this sp.",NA
"Charybdis_feriata","PORTUNIDAE",NA,"unknown","solitary","no info on this sp.",NA
"Charybdis_hellerii","PORTUNIDAE","solitary","solitary","solitary","high rate of regenerating appendages suggests agonistic interactions","717"
"Charybdis_japonica","PORTUNIDAE",NA,"repro_aggregate","repro_aggregate","solitary, aggressive, but female in pot attracted others to be caught","721"
"Necora_puber","PORTUNIDAE","solitary","solitary","solitary","very aggressive, fighting heavily studied in this species","662"
"Ovalipes_punctatus","PORTUNIDAE",NA,"unknown","solitary","O. ocellatus very aggressive","661"
"Portunus_pelagicus","PORTUNIDAE","solitary","solitary","solitary","highly cannibalistic","722"
"Portunus_sanguinolentus","PORTUNIDAE","solitary","solitary","solitary","agonistic mating encounters","718"
"Portunus_trituberculatus","PORTUNIDAE","solitary","solitary","solitary","high rate of limb autotomy, suggests agonistic interactions, but in culture ponds","723"
"Scylla_olivacea","PORTUNIDAE","solitary","solitary","solitary","aggressive, particularly in mating","719"
"Scylla_serrata","PORTUNIDAE","solitary","solitary","solitary","highly aggressive",NA
"Ibacus_peronii","SCYLLARIDAE","solitary","solitary","solitary","cited as ""not gregarious""","338"
"Thenus_indicus","SCYLLARIDAE","aggregates","gregarious","gregarious","""the spatial distribution...was highly contagious in all moths"" but this paper indicates it's more a matter of habitat preference and there's ""no evidence of behaviourally stimulated aggregation for reproductive or migratory purposes""","659"
"Thenus_orientalis","SCYLLARIDAE","aggregates","gregarious","gregarious","""the spatial distribution...was highly contagious in all moths"" but this paper indicates it's more a matter of habitat preference and there's ""no evidence of behaviourally stimulated aggregation for reproductive or migratory purposes""","659"
